base_file,comp_file,variable,max_diff,mean_diff,percent_diff
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4_tmp.nc,calipsoopacity,5.9604645e-08,6.0280847e-09,9.495869e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4_tmp.nc,uncalipso_opaque,5.2154064e-08,4.843864e-10,9.659503e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4_tmp.nc,calipsozopaque,5.9604645e-08,9.612402e-10,9.509379e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4_tmp.nc,clcalipso_opaque,5.9604645e-08,5.4763865e-09,9.806949e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200804_avg_CFMIP2_sat_3.1.4_tmp.nc,alt_mid,9.536743e-07,1.2367964e-07,1.7675849e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,clrcalipso_opaque,5.9604645e-08,1.9560206e-08,7.864601e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,clcalipso_notopaque,5.9604645e-08,1.7775852e-09,9.179553e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,uncalipso_notopaque,5.9604645e-08,6.5392064e-10,9.3686185e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,clrcalipso_notopaque,5.9604645e-08,2.3577183e-08,5.1211127e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,calipsoopacity,5.9604645e-08,6.0350653e-09,9.464966e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,uncalipso_opaque,5.9604645e-08,4.906734e-10,9.422929e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200805_avg_CFMIP2_sat_3.1.4_tmp.nc,calipsozopaque,5.9604645e-08,9.704042e-10,9.491777e-06
